CONTINENTE	PAIS	CAPITAL
EUROPA	ALBANIA	TIRANA
EUROPA	ALEMANIA	BERLIN
EUROPA	ANDORRA	ANDORRA LA VIEJA
EUROPA	ARMENIA	EREVAN
EUROPA	AUSTRIA	VIENA
EUROPA	AZERBAIYAN	BAKU
EUROPA	BELGICA	BRUSELAS
EUROPA	BIELORRUSIA	MINSK
EUROPA	BOSNIA Y HERZEGOVINA	SARAJEVO
EUROPA	BULGARIA	SOFIA
EUROPA	REPUBLICA CHECA	PRAGA
EUROPA	CROACIA	ZAGREB
EUROPA	DINAMARCA	COPENHAGUE
EUROPA	ESLOVAQUIA	BRATISLAVA
EUROPA	ESLOVENIA	LUBLIJANA
EUROPA	ESPANA	MADRID
EUROPA	ESTONIA	TALLIN
EUROPA	FINLANDIA	HELSINKI
EUROPA	FRANCIA	PARIS
EUROPA	GEORGIA	TIFLIS
EUROPA	GRECIA	ATENAS
EUROPA	HUNGRIA	BUDAPEST
EUROPA	IRLANDA	DUBLIN
EUROPA	ISLANDIA	REIKIAVIK
EUROPA	ITALIA	ROMA
EUROPA	LETONIA	RIGA
EUROPA	LIECHTENSTEIN	VADUZ
EUROPA	LITUANIA	VILNA
EUROPA	LUXEMBURGO	LUXEMBURGO
EUROPA	REPUBLICA DE MACEDONIA	SKOPJE
EUROPA	MALTA	LA VALETA
EUROPA	MOLDAVIA	CHISINAU
EUROPA	MONACO	MONACO
EUROPA	MONTENEGRO	PODGORICA
EUROPA	NORUEGA	OSLO
EUROPA	PAISES BAJOS	AMSTERDAM
EUROPA	POLONIA	VARSOVIA
EUROPA	PORTUGAL	LISBOA
EUROPA	REINO UNIDO	LONDRES
EUROPA	RUMANIA	BUCAREST
EUROPA	RUSIA	MOSCU
EUROPA	SAN MARINO	CIUDAD DE SAN MARINO
EUROPA	SERBIA	BELGRADO
EUROPA	SUECIA	ESTOCOLMO
EUROPA	SUIZA	BERNA
EUROPA	UCRANIA	KIEV
EUROPA	VATICANO	CIUDAD DEL VATICANO
AMERICA	ANTIGUA V BARBUDA	SAINT JOHN'S
AMERICA	ARGENTINA	BUENOS AIRES
AMERICA	BAHAMAS	NASSAU
AMERICA	BARBADOS	BRIDGETOWN
AMERICA	BELICE	BELMOPAN
AMERICA	BOLIVIA	SUCRE, LA PAZ
AMERICA	BRASIL	BRASILIA
AMERICA	CANADA	OTTAWA
AMERICA	CHILE	SANTIAGO DE CHILE
AMERICA	COLOMBIA	BOGOTA
AMERICA	COSTA RICA	SAN JOSE
AMERICA	CUBA	LA HABANA
AMERICA	DOMINICA	ROSEAU
AMERICA	REPUBLICA DOMINICANA	SANTO DOMINGO
AMERICA	ECUADOR	QUITO
AMERICA	EL SALVADOR	SAN SALVADOR
AMERICA	ESTADOS UNIDOS	WASHINGTON D.C.
AMERICA	GRANADA	SAINT GEORGE'S
AMERICA	GUATEMALA	CIUDAD DE GUATEMALA
AMERICA	GUYANA	GEORGETOWN
AMERICA	HAITI	PUERTO PRINCIPE
AMERICA	HONDURAS	TEGUCIGALPA
AMERICA	JAMAICA	KINGSTON
AMERICA	MEXICO	MEXICO D.F.
AMERICA	NICARAGUA	MANAGUA
AMERICA	PANAMA	CIUDAD DE PANAMA
AMERICA	PARAGUAY	ASUNCION
AMERICA	PERU	LIMA
AMERICA	PUERTO RICO	SAN JUAN
AMERICA	SAN CRISTOBAL Y NIEVES	BASSETERRE
AMERICA	SANTA LUCIA	CASTRIES
AMERICA	SAN VICENTE Y LAS GRANADINAS	KINGSTOWN
AMERICA	SURINAM	PARAMARIBO
AMERICA	TRINIDAD Y TOBAGO	PUERTO ESPAÑA
AMERICA	URUGUAY	MONTEVIDEO
AMERICA	VENEZUELA	CARACAS
ASIA	AFGANISTAN	KABUL
ASIA	ARABIA SAUDITA	RIAD
ASIA	BAREIN	MANAMA
ASIA	BANGLADES	DACA
ASIA	BRUNEI	BANDAR SERI BEGAWAN
ASIA	BUTAN	TIMBU
ASIA	CAMBOYA	PNON PEHN
ASIA	CHINA	PEKIN
ASIA	CHIPRE	NICOSIA
ASIA	COREA DEL NORTE	PYONGYANG
ASIA	COREA DEL SUR	SEUL
ASIA	EMIRATOS ARABES UNIDOS	ABU DABI
ASIA	FILIPINAS	MANILA
ASIA	INDIA	NUEVA DELHI
ASIA	INDONESIA	YAKARTA
ASIA	IRAN	TEHERAN
ASIA	IRAQ	BAGDAD
